id,username,password
1,xiaoming,123456
2,xiaohua,123456
3,xiaolan,123456
4,zhangsan,123456
5,xiaowang,123456
6,xiaowang,123456
7,xiaowang,123456
8,xiaowu,123456
9,xiaoli,123456
10,xiaoning,123456
11,xiaofeng,123456
12,xiaohao,123456
13,xiaozhao,123456
14,xiaoha,123456
15,233,234
16,xiaoche,123456
17,xiaomu,123456
18,xiaozai,12345
19,xiaoceng,123456
20,"2018,1,20",123456
21,123,234
22,123454,23
23,123,567
24,123454,2
25,22,ww
26,e,w
27,2343,2
28,123454,e
29,112,133
30,2343,3
31,"2018,1,20",2
32,123454,q
33,xiao,123
34,xiaoming,123456
